City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
166,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,93,100,11.99,overcast clouds
167,Zhangjiakou,CN,40.81,114.8794,25.29,52,9,6.06,clear sky
168,Portland,US,45.5234,-122.6762,52.45,89,100,12.66,overcast clouds
169,Egvekinot,RU,66.3167,-179.1667,-11.11,89,23,7.76,few clouds
170,Dali,CN,25.7,100.1833,40.51,81,3,1.28,clear sky
171,Sola,VU,-13.8833,167.55,82.08,76,100,13.35,overcast clouds
172,Mandalgovi,MN,45.7625,106.2708,12.7,71,91,1.99,overcast clouds
173,Iisalmi,FI,63.5592,27.1907,12.47,91,100,8.08,overcast clouds
174,Xuanhua,CN,40.6103,115.0447,28.11,45,4,6.11,clear sky
175,Vardo,NO,70.3705,31.1107,15.78,92,8,12.66,clear sky
176,West Lafayette,US,40.4259,-86.9081,34.3,81,100,8.05,overcast clouds
177,Saldanha,ZA,-33.0117,17.9442,62.65,86,0,8.79,clear sky
178,Sehithwa,BW,-20.4667,22.7167,71.17,69,87,12.03,overcast clouds
179,Changji,CN,44.0167,87.3167,14.79,92,55,2.24,mist
180,Shimoda,JP,34.6667,138.95,47.1,59,9,3.76,clear sky
181,Seydi,TM,39.4816,62.9137,45.28,57,59,6.49,broken clouds
182,Nouadhibou,MR,20.931,-17.0347,67.98,52,9,12.66,clear sky
183,Srikakulam,IN,18.3,83.9,58.48,62,0,7.36,clear sky
184,Camopi,GF,3.1655,-52.3158,71.76,99,100,3.65,light rain
185,Sabang,ID,5.8933,95.3214,80.22,71,91,5.37,overcast clouds
186,Katsuura,JP,35.1333,140.3,47.21,51,1,8.57,clear sky
187,Victoria,HK,22.2855,114.1577,67.24,57,100,5.99,overcast clouds
188,Lasa,IT,46.6166,10.7002,34.68,89,67,3.44,broken clouds
189,Wanxian,CN,30.8039,108.3897,47.12,76,0,1.32,clear sky
190,Nichinan,JP,31.6,131.3667,35.28,60,0,3.8,clear sky
191,Dunedin,NZ,-45.8742,170.5036,59.81,95,0,15.55,clear sky
192,Hofn,IS,64.2539,-15.2082,36.14,71,100,21.14,overcast clouds
193,Wucheng,CN,29.6008,118.175,46.29,66,0,1.74,clear sky
194,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,70.54,95,96,2.59,overcast clouds
195,Cleethorpes,GB,53.5605,-0.0323,44.96,81,20,21.85,few clouds
196,Fraga,ES,41.5229,0.3489,40.03,64,85,1.43,overcast clouds
197,Qunduz,AF,36.729,68.857,48.38,46,87,0.96,overcast clouds
198,Harbour Breton,CA,47.4833,-55.7983,29.17,84,98,3.58,overcast clouds
199,Sioux Lookout,CA,50.1001,-91.917,15.87,92,40,4.61,scattered clouds
