City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
224,San Patricio,US,2022-12-31 23:30:47,28.017,-97.5169,80.55,57,0,10.36
225,San Vicente,AR,2022-12-31 23:30:47,-26.6167,-54.1333,75.81,58,52,4.0
226,Narrabri,AU,2022-12-31 23:30:48,-30.3167,149.7833,81.52,58,3,1.99
227,Sisimiut,GL,2022-12-31 23:30:48,66.9395,-53.6735,5.85,82,100,8.39
228,Najran,SA,2022-12-31 23:26:39,17.4924,44.1277,52.45,58,11,2.3
229,Cidreira,BR,2022-12-31 23:30:49,-30.1811,-50.2056,71.89,89,0,10.49
230,Clyde River,CA,2022-12-31 23:30:49,70.4692,-68.5914,-21.77,69,0,16.11
231,Gat,IL,2022-12-31 23:31:49,31.61,34.7642,59.77,100,58,14.05
232,Ilulissat,GL,2022-12-31 23:31:50,69.2167,-51.1,6.82,66,100,13.8
233,Mankono,CI,2022-12-31 23:31:50,8.0586,-6.1897,71.76,17,2,4.36
234,Tottori,JP,2022-12-31 23:31:50,35.5,134.2333,44.67,61,75,5.75
235,Sevierville,US,2022-12-31 23:31:51,35.8681,-83.5618,59.29,91,75,5.75
236,Zeya,RU,2022-12-31 23:31:51,53.75,127.2667,-22.18,90,41,5.28
237,Hay River,CA,2022-12-31 23:31:51,60.8156,-115.7999,6.78,85,75,0.0
238,Kruisfontein,ZA,2022-12-31 23:31:52,-34.0033,24.7314,62.89,94,6,4.23
239,Faanui,PF,2022-12-31 23:31:52,-16.4833,-151.75,81.03,75,100,13.15
240,Kholodnyy,RU,2022-12-31 23:31:52,62.7167,147.95,-29.74,100,97,1.1
241,Cairns,AU,2022-12-31 23:31:53,-16.9167,145.7667,85.1,74,100,0.0
242,Puerto Baquerizo Moreno,EC,2022-12-31 23:31:53,-0.9,-89.6,72.79,88,49,10.11
243,Whitehorse,CA,2022-12-31 23:31:53,60.7161,-135.0538,11.17,84,20,5.75
244,San Carlos De Bariloche,AR,2022-12-31 23:30:08,-41.1456,-71.3082,67.75,26,20,28.77
245,Vanderhoof,CA,2022-12-31 23:30:45,54.0166,-124.0198,20.55,99,93,1.59
246,Sorong,ID,2022-12-31 23:31:54,-0.8833,131.25,83.44,68,95,14.56
247,Shingu,JP,2022-12-31 23:31:54,33.7333,135.9833,45.9,57,3,4.16
248,Progreso,MX,2022-12-31 23:31:55,21.2833,-89.6667,87.91,83,66,11.86
249,Dashitou,CN,2022-12-31 23:31:55,43.3067,128.5114,5.52,82,71,13.58
